content,label
"aplikasi nya mohon di perbaiki. suka force close sendiri. harap di perbaiki sesuai dengan nama aplikasi yaitu PAJAK. Anda di bayar dari rakyat. jadi tolong bikin web yg seharus nya seperti apa. jangan seperti aplikasi"" murah. Seharus nya anda membaca ulasan dari penilaian ya. !!!! Woi t*l*l respon",Negative
Website pendaftaran sangat buruk,Negative
Aplikasi gblok cap t*i,Negative
Ribet banget,Negative
"Lawak asli ini aplikasi, buang2 duit doang",Negative
bagus,Positive
"TOLONG diupdate fitur dalam aplikasinya, agar ada fitur untuk dapat meminta No EFFIN baru scr online, ngapain bikin aplikasi buat dipakai secara online, kalau pengurusan untuk no Effin 1st time saja harus secara manual? Aplikasi dibuat untuk memudahkan user bukan merepotkan. Aplikasinya tidak berguna sama sekali ini. 1 lagi NPWP saya dibuat scr online, katanya kartu fisiknya akan dikirimkan 2 Minggu kemudian, ke rumah, tapi sampai detik ini, kartunya blm juga sampai ke alamat rmh saya. Miris!!",Negative
Data gagal tersimpan eror padahal sudah tinggal terakhir aktivasi,Negative
Aplikasi ga berguna,Negative
"Kalo gk butuh² amat males dah instal nya juga, baru aja download udah di suruh update lagi, hadeuh belum aja di pake udah menghambat🤦‍♀️",Negative
"Ini bagaimana yaa mau pengajuan ulang EFIN pas dapat otp dari email selalu gagal terus entah darimana nya coba, coba tolong diperbaiki lagi lah , mau datang ke KPP kejauhan masalah nya",Negative
Sangat Membantu,Positive
Aplikasi GK gunaa,Negative
ERORRR TERUUUSSSSS,Negative
"Sepertinya pliksi mupun web berguna atau berfungsi klo di dalam gedung pajaknya deh, solnya email sma pass yang aku masukkan ydah bener bgt gak salah tpi tertera salah. Wkwkwk",Negative
Bagus,Positive
"Sudah lama tidak buka djp, begitu dibuka kagak bisa lagi, admin mohon di perbaikin demi kelancaran.",Negative
oke,Positive
Aplikasi banyak bug. Gak jelas. Pencet dikit malah keluar sendiri,Negative
PERBAIKI SYSTEMNYA!!!! JANGAN CUMA MALAK DOANG SU!!,Negative
Aplkasi gk jelas,Negative
"Aplikasi sampah buang"" duit rakyat aja Halah",Negative
Sampah gk ada fungsi sama sekali....,Negative
Asli busuk banget smpe pulsa hbis gk bisa verti otp,Negative
Useless,Negative
APLIKASI BUSUK !!!!!!!!!!!,Negative
"Syarat lengkap cepat,,",Positive
Bad,Negative
"plis laah pelayanan di tingkatin lagi, mau login akun pun susah banget udah nunggu lama eh katanya admin masi sibuk hmmmm🗿🗿",Negative
"aplikasi sampah, negara bayar lu pake uang kami bikin aplikasi begini aja ga becus",Negative
Jos,Positive
Ok,Positive
Bulan Juni kalau nggak Juli kemarin aku unduh apk ini karna lupa efin. Mudah tapi untuk nunggu email buat Nerima kode nya laaaamaaaaaaa bangtt gak ada masuk malah.. berkali² dicoba dihari² brikutnya masih sama.. pilih dikirim pakai nomor juga gak bisa.. trus pasrah.. hapus apk.. trus sekarang iseng² lagi eh bisaa.. cepet lagi nggak kaya yang bulan² kemarin.. lancar sampai bisa lihat kartu NPWP online ku.. terimakasih sudah di update untuk pelayanannya.. SAYAA SANGAATTT TERBANTUUU TERIMAKASIH 🙏,Neutral
Mau minta efin kagak bisa2 selalu keluar sendiri dari aplikasi!!!!! 👎,Negative
Aplikasi sampaaaaaaah,Negative
Apus aja sampah,Negative
Susah mendaftar,Negative
"enggak bisa login, mau di isi informasi akun yg benar juga tetap enggak bisa login, coba pakai cara password juga situsnya enggak bisa di akses, aplikasi apaan ini",Negative
baru beberapa menit instal apk ini....mau masuk ada laporan suruh update... yang harus di update apanya...????,Negative
otp nya susah masuk sekali masuk gagal bang ini solusinya gimana,Negative
"Ga guna banget, gabisa buka web apapun lambat bgt aplikasinya!",Negative
"Sengaja aplikasi di erorkan dan tidak diperbaiki,,,agar masyarakat bayar buat pembuatannya 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩",Negative
Bug di pelihara aplikasi tolol otp udah benar masi salah trs,Negative
"APLIKASI GA JELAS, BUANG BUANG PULSA DOANG!! PADAHAL SAYA SUDAH NGETIK CAPTCHA DENGAN BENAR TAPI MASIH SALAH AJA.",Negative
Aplikasi sangat tidak membantu alias pembodohan,Negative
"G bisa di klik tuh menu daftarnya ..Buang2 anggaran negara,bikin aplikasi sampah.harusnya di permudah untuk urusan income bagi pemerintah.malqh bikin masyarakat jadi males",Negative
"Gada gunanya, link mereka gabisa diakses wkwkwk",Negative
Ok,Positive
"Via aplikasi lelet, via web pun lelet... Bintang 1",Negative
"Aplikasi ga jelas, lebih banyak error daripada benernya",Negative
Aneh nih aplikasi sdh di konfir kekantor dan sdh terdaftar.kok setelah coba nih apk malah tidak terdaftar.apk aneh nggak beres.tidak layak mendapat nilai rangking.perlu perbaikan lagi biar para user pengguna puas.terima kasih,Negative
"Aplikasi tidak bisa digunakan, pake wifi ga bisa pake data juga ga bisa jelek banget ini aplikasi nya",Negative
"Parah, aplikasi gak jelas!!!!!!",Negative
"Alhamdulillah lewat aplikasi ini, sy sudah dapat NPWP dengar mudah dan juga no efin serta kartunya... Terima kasih atas bantuan dan pelayanannya🙏🙏🙏",Positive
kata sandi dan nik sudah benar tapi berkali kali gagal login.... giliran bisa tiba tiba log out sendiri.... gimana bisa memadankan NPWP dan nik... tolong ya kalo belom siap membuat aplikasi jangan sedikit sedikit pake aplikasi.... malah mempersulit saja.!!!,Negative
"nerima duit mulu bisanya ,suruh ngembangin aplikasi buat membantu masyarakat malah error terus baik aplikasi ataupun servernya",Negative
Cek ok,Positive
PAJAK TERUSSS... JALAN RUSAK BIKIN AMBERO DAN JANTUNG PROTOL,Negative
aplikasi ga jelas eror muluuuuu ga bisa login samsek dih,Negative
"Aplikasi gak niat, cuma niat nerima duit pajaknya doang, giliran lupa password gk bisa diurus langsung dari apknya, ketika diklik lupa passwor malah ditujukan ke website kosong LOL, sekelas pemerintah pajak apknya butut banget, masih bagusan apk livin yg mana kalo lupa password gampang.",Negative
Apk pemerintah tp low performa...rakyat mau pajak aja dipersulit...ujung-ujungnya dikorupsi 😤,Negative
Bermanfaat,Positive
Aplikasi sampah. Mau daftar aja tidak bisa. Sampah banget. Rugi saya sudah terlanjur download. Langsung saya delete aja.,Negative
"Tolong di perbaiki lagi, kok jaringan selalu ngak ke sambung padahal wifi aktif, juga npwp salahlah apalah.. ribet banget ni aplikasi.",Negative
Buruk,Negative
Maklum yang kerja di pemerintahan rata orang tolol semua. Aplikasi bikin emosi doang. Yg masuk kerja boleh bawaan keluarga jadi sebenernya pada gabisa kerja,Negative
Sangat lengkap infonya,Positive
Good,Positive
"Hancur Tidak bisa login password bener di bilang salah Ganti password jaringan bermasalah, padahal jaringan bagus",Negative
Apa gunanya aplikasi kalau ujung-ujungnya dialihkan ke web. Daftar NPWP aja ribet gini. Gak mampu bayar designer kah? Gak mampu bayar operator yang berkompeten kah?,Negative
Apk sampah,Negative
Aplikasinya bikin bingung gak satset. Log in salah terus padahal udah sesuai.,Negative
"Ribett x kyk uppriittt, lupa sandi aja ribet x proses oemulihannya. Taik",Negative
"Kalo buka pake hp, kolom informasi nya kurang lengkap. Minta info ke admin kerjanya lelet. Ditanya pagi, sore me jelang tutup kantor barudiberi jawaban, Mau buka djp online sesuai petunjuk admin, malah ga ada menu-nya. Ribet jg org pajak. Buat dapat NPWP yg sudah diperbaharui berupa pdf aja muter2 bukannya langsung kirim ke alamat email yg sudah terdaftar.",Negative
"Yang anehnya aplikasi ini.. sudah masuk aplikasi trus keluar mau masuk dengan kata sandi yang benar dan no npwp benar,, tapi bilangnya EROR",Negative
gk web gk aplikasi semua bermasalah dikit-dikit eror emang tua mana ngerti teknologi,Negative
apk penuh bug apapun dari pemerintahan pasti apk jelek,Negative
apk bermasalah.... GK jelas,Negative
Klo gak bisa dipakai atau belum siap jgn di share dlu ni aplikasi,Negative
"Ga usah sok bikin aplikasi kalo error begini. Website ga bisa, aplikasi juga sama aja",Negative
Apk gak jelas download tuk habisin paket internet doang masuknya tak bisa nomor NPWP sudah benar PASSWORD juga suda benar tapi tetap gagal masuk KACAUU,Negative
Belajar menghargai orang pak/ bu rakyat di suruh bikin NPWP pas daftar di aplikasi banyak masalah,Negative
Aplikasi mempersulit bayar pajak,Negative
Parah ngga bisa dibuka...aplikasi pemerintah padahal ini....,Negative
"Pembuatan npwp ribet, live chat percuma tdk befungsi alias tidak bisa di klik. Kalau mau bikin apk online persiapkan yg matang.",Negative
"saya lupa email dan efin. Tidak bisa ijin di hari kerja, menanyakan ke pelayanan online malah gk bagus solusinya,pelayanan online mendingan ditutup kalau tidak bisa membantu. Yang mudah di persulit, yang sulit makin sulit.",Negative
APLIKASI SAMPAH,Negative
"Baik web atau aplikasi, saat saya ingin login ga bisa ada keterangan ""Username dan Password tidak cocok"" Padahal sudah benar. Webnya pun sekarang sudah tidak bisa di kunjungi. Apakah kena retas hacker juga ? 🤦🏻‍♀️",Negative
aplikasi rusak di biarkan . sekelas BUMN kocak,Negative
Ok,Positive
Aplikasi Ilegal dan tidak berguna,Negative
Aplikasi eror mulu,Negative
Kenapa pw sama no npwp sudah bener tapi tetep tidak bisa login sok omeken rek make hese,Negative
ini maksudnya gimana saya pertama kali mau bikin npwp kok email sudah pernah dipakai padahal saya baru pertamakali mau bikin hadeh,Negative
"Gak bisa dipake, yg versi web juga sama aja",Negative
Ok,Positive
"Payah lu,masa mau daftar kaga bisa",Negative
"gak bisa dipake, server (101)",Negative
Cukup membantu,Positive
"apa2an.. registrasi aj susah., login ber'ulang2 ujung2nya gagal...... sini niat mau bayar pajak malah dipersulit prosesnya.. & lgi2 ujung2nya nnti dimasa depan malah kena denda krn ga bayar pajak.!!",Negative
Oc..,Positive
"LEMAH, GAK BISA DAFTAR, GAK BISA PERBAIKI LUPA SANDI",Negative
👍👍👍👍👍👍👍👍👍👍👍👍,Positive
"Suruh bikin npwp tp aplikasi bobrok...udah gonta""i provider ternyata yg gabisa emang apk.nya...Udah banyak complain tp gak diperbaiki ini gimana",Negative
"Pokoknya aku tau nya ini online yah. Aku gak mau diarahkan ke offline. Semua harus online. Parah login berkali kali gagal terus . Sejauh ini , ini apk tersulit ,ribet penuh tantangan diarahkan kesana kesini. Ngisi form nya jg ribet. Tolong diperbaiki lagi. Pangkas tautan2 seminim mungkin, pak Jokowi tau pasti marah kayak gini. Coba aku share ke mas Gibran deh.",Negative
Aplikasi tidak bisa di buka,Negative
Aplikasi ribet,Negative
"mau taat pajak aja susah,apk gembel",Negative
"Registrasi aja dibikin susah, daftar Npwp pakai kartu tri gk boleh, emangnya kartu tri itu ilegal di indonesia apa? Ngurus offline dipersulit surat keterangan lurah, formulir ini itu. Ngurus online juga dipersulit. Sebenarnya negara indonesia itu pingin masyarakatnya terdaftar di lembaga pajak gak sih? Kok registrasi aja dibikin ribet & susah kayak gak pingin masyarakat indonesia terdaftar di lembaga pajak aja. Aplikasi gak guna, ribet & berbelit2, gue uninstall aja sekalian.",Negative
Alhamdulillah j berguna banget tapi booong apk apaan ini gua yakin pembuatnya pasti pinter ehh tapi boong,Negative
Ngerti teknologi ga sihh?,Negative
Ini aplikasi untuk membantu pelayanan publik apa aplikasi untuk menuhin penyimpanan dan ngabisan data !!!,Negative
Ripuh,Negative
"Aduh saya bingung , saya datang kekantor pajak , malah disuruh aktivasi aja lewat apk , giliran aktivasi Effien , kode aktivasi nya gakeluar melalui email.",Negative
"Apk sampah, web sampah.. bubar",Negative
Tidak jelas,Negative
Pul bintang karena pelayana cepat,Positive
Error terus login sudah benar semua masih saja ada error,Negative
Baru Masuk Aplikasi Udah keluar dengan sendirinya . Tolong di perbaiki lagi,Negative
"Alhamdulillah NPWP saya sudah terdaftar.... makasih banyak. Awalnya mengalami kesulitan,ulang terus menerus,berkali kali, akhirnya lengkap sudah pengisian saya NPWP per orangan",Positive
Aplikasi gembel,Negative
"Pas mau foto 1 detik mati aplikasi nya, sampai 4 x gak ada berubah,, gak dapat foto, eror",Negative
Tolong perbaiki bug terus,Negative
"Lebih baik pakai websitenya , pakai versi ini ga bisa login pkai websitwle langsung bisa login",Negative
Mudah dan aman,Positive
Apk ga guna _- emosi make nya ngulang ngulang trus 😕,Negative
Sistem nya GK praktis payah padahal mo bayar pajak tuk akses masuk nya rumit pokoknya aplikasi ini bukan bantu malah bikin pusing,Negative
Knpa aplikasi djp sekarang sudah masuk,Negative
Masak mau login nggk bisa,Negative
Ada yang punya solusi gk pas mau minta efin masukin kode OTP kok error terus ya? Masa tetap harus ke kantor ngurusin nya?,Negative
App sempak banyak bug tapi ga di fix problem,Negative
"mau daftar, tapi halaman nya tidak tidak tersedia. trus ngga solusinya, jadi ngga bisa masuk",Negative
"Habis di update mlah kayak asu ni aplikasi... Tpi ya wajarlah,data negara aja ambrol aplgi mendevelop app.",Negative
"Masih banyak bug, tiap buka aplikasi selalu keluar pop up update aplikasi tapi tidak ada update",Negative
Error kalau buat log in...,Negative
"apk jembut ya gini, mau buat aja dipersulit",Negative
Apk GK sesuai expect Aplikasi jelek pelayanan jelek siapa pngmbng apk nya?pecat gaguna duit kmnain itu?yg tua klo gaptek usir aj gguna kecuali PGN JD office boy WKWKWK,Negative
Gak guna cok sruh nunggu 10 mnit krim kode nmor dah bner. Tpi gk ad sms msuk. Lawak,Negative
"Gabisa login lewat aplikasi, mempersulit orang yang mau login. bukannya mempermudah malah mempersulit, error terus setiap mau login pake aplikasi",Negative
Mantap,Positive
👍🏻👍🏻,Positive
Mantap ...,Positive
Sampah,Negative
Mantap,Positive
"Bukan produk buatan negara KALAU ISINYA SELALU RIBET & BERMASALAH, GANGGUAN SERVER, TIMBUL BANYAK MASALAH... AYO TINGKATKAN SDM YANG AHLI KORUPSI..",Negative
Aplikasi ga berguna verifikasi gagal trus.ga jelas,Negative
"Apa apa an. Mau masuk dg NPWP dan password yang sesuai, malah gagal untuk masuk. Sampai bolak balik reset password, tetep aja gk bisa masuk",Negative
mau daftar aja di persulit benerin dulu tu server,Negative
"Tidak bisa memproses permintaan kode EFIN, katanya jaringan eror, padahal baik2 aja jaringan. Tolong di bantu perbaikannya",Negative
Wao emezing,Positive
Bagus,Positive
"Pliislah tolong ya daftar pertama link cuma sekali buka kode OTP bayar,. Menyusahkan sdah 4 email daftar kagak selesai-selesai",Negative
Ko ga bisa dibuka aplikasinya,Negative
Banyak yg eror,Negative
"Aplikasi ini gak berguna sama sekali , log in gak bisa padahal semua data sudah benar . Tapi sebenernya gak kaget sih sama yg beginian 😊",Negative
Parah parah gak becul betol yg buat aplikasi,Negative
Nggak bisa dibuka daftar..hadehhh,Negative
Aplikasi ga jelas aneh horor,Negative
"Sistem pendaftarannya payah terlalu di persulit kirim otp perlu berkali-kali padahal yang di masukkan sudah benar tapi di anggap salah oleh sistem waktu pendaftaran NPWP juga sulit, kata sandi selalu di anggap salah padahal yang di masukkan sudah benar, apa kata sandi yang kumasukkan terlalu sulit? Sampai sistem lupa dengan kata sandiku. Setalah ganti sandi pas mau daftar ulang malah linknya tidak bisa di akses aneh TIDAK BISA BUAT APLIKASI MENDING HAPUS SAJA, DAFTARNYA JUGA DI WEB BUKAN DISINI.",Negative
Bagus,Positive
"Wahai tong bajil, nikmat apa lagi yang kau dustakan. Kenapa setiap aplikasi yang berhubungan dengan pemerintah selalu tidak berguna?",Negative
Aplikasi gak jelas mempersulit masyarakat update efin harus kekantor apa gunanya aplikasi ini t*lol,Negative
Sangat keren mudah buat segala nya,Positive
Ga bekerja...error,Negative
"Kalo liat di YouTube begitu masuk ada beberapa menu dibagian bawah, tapi di aku cuma ada beranda sama bayar.",Negative
Ini apl gimna si mau daftar malah bermasalah mulu tautan bermasalah ngga tersedia kirain mempermudah malah puyeng,Negative
Buang2 anggaran buat aplikasi ini,Negative
"Mau login via NPWP kata sandi selalu salah padahal udah bener, mau lupa kata sandi jaringan selalu di putus? Aplikasi apa ini? Pajangan doang di Play Store? Biar bukti kalo Indonesia bisa bikin aplikasi? Padahal isinya? HTML WKWKWK",Negative
Apk jmbt😄😄😄😄,Negative
"gagal mulu, kode verifikasi udh bener, nyoba yg dari email gagal, dari sms jg gagal.. hmmm",Negative
"Sekali lagi, apapun itu kalau layanan milik negara pasti ribet dan semakin sulit..",Negative
Aplikasi sampah,Negative
Mau daftar ga bisaaaa kocakkk,Negative
"Udah daftar online kalo ttep ke kantor pajaknya, ngapain kntl..",Negative
"Sangat buruk, udah pakai beberapa provider tetap saja lemot, keterangan sandi salah pas klik lupa sandi tidak bisa di klik, tidak ada respon",Negative
gak bisa masuk akun. notif akun tidak ditemukan. pas cek NPWP valid loh,Negative
"mau login susah bener email sudah benar pw sudah bener tetap saja di salahkan freak, , sekelas pajak apk begitu freak",Negative
"Pinginnya pake aplikasi ini biar lebih mudah,tp baru mau masuk kata sandi salah trus padahal sudah memasukan kata sandi benar...jadinya akun saya malah terblokir",Negative
Mantap,Positive
Menyedihkan,Negative
ampun dah tunggu kode OTP aja sampai maut jg kaga sampe....,Negative
Ini kenapa ya lupa kata sandinya tidak bisa di klik sama sekali tidak berfungsi tolong d bantu,Negative
"UX-nya ribet, ga bisa terintegrasi email atau pakai cara simple. Sudah daftar NPWP dan terima EFIN, tapi login katanya belum terdaftar. Udah install aplikasi saat mau daftar atau perubahan dialihkan ke web lagi, lah kocak.",Negative
Sampah emg! Baru juga download mau effin udah tinggal verifikasi lewat email pas buka aplikasinya lagi ngulang dari awal..,Negative
Aplikasi para koruptor,Negative
Sangat membantu,Positive
"Sudah daftar dari tahun 2016, sampai hari ini masih kesulitan akses situs pajak, selalu salah pasword!",Negative
Nggak bisa masuk walau udah ngisi no npwp sama sandi sudah benar😴😴😴,Negative
aplikasi gajelas,Negative
"Pemerintah bikin aplikasi gak pernah bener problem truss ini yang goblokk yang mana, sedangkan rakyat mau nguruss aja di persusah sama sistemnya sering eror, duitnya di korup mulu # negara lucu",Negative
Login lupa password tidak bisa,Negative
Aplikasi pemerintah gak ad yg bener bikin aplikasi gimana si masa orng mau login g bisa masuk. Pantes aja banyak data yg bocor,Negative
Aplikasi ga guna,Negative
"Aplikasi ga mutu, lupa katasandi gabisa. IT payah... Kerja kerja kerjaaaaaa...",Negative
Tidak bisa di akses,Negative
Tolonglh diperbaiki. Mau pemadanan ga bisa bikin akun. Besok sudah hari terakhir pemadanan,Negative
"Aplikasi sampah,gak guna",Negative
Kesini cuma mau ngasih kata2 mutiara.....kalian kerja dikendalikan uang bukan otak.... Aplikasi gak bisa di pake web situs tidak terjangkau....bdh bgt sih,Negative
"gak bisa di kosongin bintangya, urus data pengguna perpajakan aja gak beres smpe suruh lakukan pemadanan lagi, mau ngurus apk onlinenya... ampun, iklas aja dah,,",Negative
aplikasi anjeng,Negative
"WOYYY, KLO UDH ADA APK NGAPAIN PAS LUPA KATA SANDI DIARAHKAN KE WEB? GA GUNA BGT DEHH TOLOLLL, UDH DIPERSULIT DI WEBNYA EROR MULUUU, GILIRAN DOWNLOAD APK MALAH KEK TAIK NGENTOTT, PDHL INI INSTANSI SEKELAS DIRJEN PAJAK BUKAN ECEK2, GAK MUTU BGT",Negative
"Kebiasaan kalo aplikasi pemerintah. Ga ada yang bener. Di website bisa login, di aplikasi malah ga bisa. Orang mah kalo niat mempermudah, di atur dulu sistemnya, di cek dulu alurnya, di mantepin dulu servernya baru di publish. Masyarakat di paksain buat punya NPWP, tapi sistem ga siap. Gimana coba. ? Blog",Negative
Aplikasi gangguan terus,Negative
No coment,Neutral
Penasaran pengadaan web & maintenance abisin anggaran brp hasilnya kek gini 🚩,Negative
"Aplikasi hasil para koruptor ya gini, busuk bgt , gak jelas error mulu , anjir emang!! Gw Di paksa patuh sama pemerintah yg korup dan bobrok gini . Bangkeeee!!! Kudu pemadanan data dll, ujung-ujungnya data di maling orang gara-gara pertahanan digital nya cm sekelas Smadav!!. Taik lah !!! Gw tuntut di akhirat semua para penjabat pajak sampe ke antek presiden!",Negative
"aplikasi tdk bisa digunakan,error terus",Negative
Harap perbaiki semua pelayanan ga guna,Negative
"Password tersimpan di google dan gak pernah diganti ini mau login katanya salah mulu, effin dah, ada npwp juga ada nik juga ada diisi dengan benar tapi error mulu malah pesan error katanya belum terdaftar, lah lalu npwp-nya gaib???",Negative
"Kode Verifikasi tidak bisa terkirim ke email,, Kalau sudah bagus saya naik bintang nya",Negative
"Aplikasi sampah, susah log in. Suruh masukin kode verifikasi yg katanya dikirim via email. tapi, ga dikirim2 di email ga ada.",Negative
"Minta tolong lah, aku butuh EFIN, giliran mau minta EFIN ada aja kendalanya, katanya kode verif di kirim ke EMAIL, tapi kode nya ga masuk², kalo minta kode dari nomor telpon harus pake pulsa🙂, kok jadi ribet gini yah ??, cape tauu",Negative
BOSOKKKK !!!!!,Negative
"Aplikasi sampah ga berguna,yang ada buat repot aj Mending dana ny buat negara aj ngapain alibi buat aplikasi segala Web ny pun ga berguna,petugas ny pada slow respon,atau emg gda petugas ny Nyusahin aj",Negative
"Pada dasarnya rakyat emang jadi sapi perah, mau taat aturan aja dipersulit",Negative
jelek sekali,Negative
Susah mau login juga kode verifikasi GK masuk masuk ke email,Negative
"Web lo benerin dlu lah, Surub bayar pajak tapi ngurusin web aja gk bener...",Negative
Busuk nya masih minta ampun..parah ni aplikasi iya live chat GK bisa ngasih solusi..w minta efin bilang nya kirim email tp GK ada juga..di tlpon yg ada abisin pulsa terhung kagak..nyusahin rakyat doang..busuk,Negative
"namanya aja aplikasi pendafataran online,live chat terputus terus apaan ini",Negative
"Aplikasi bermasalah, gak beres udah ganti jaringan paket data ke wifi tetap aja, mana gak bisa masuk katanya sandi salah dll. Malah ujung-ujungnya akun keblokir, padahal barusan selesai daftar",Negative
"Aplikasi download sudah terbaru masih disuruh update terus, gws boomer",Negative
mau urus no efin lupa tp udah isi data komplit tdk kunjung dapat kode verivikasi pdhl email dan nomer tlpn sesuai yg di daftarkan. tolonglah klu bikin apk itu yg bener sempurna baru di gunakan jgn kek gini bikin emosi aja,Negative
buruk,Negative
good aplikasi,Positive
Bagus 👍👍👍👍tp kadang error mohon tingkat lagi,Positive
"Aplikasi banyak bug dan kurang stabil,serta penggunaanya yang kurang jelas",Negative
Aplikasi jelek,Negative
Busuk bego tolol koplak,Negative
Kode otp gak dikirim2 udah coba berkali2,Negative
"Lupa efin terus data-datanya udah lengkap semua,pas verifikasi ga ada SMS atau Gmail yg masuk nomornya padahal udah berulangkali nyoba, gimana nih solusinya",Negative
Tidak bermanfaat,Negative
"Busuk,,, masukin email jga kaga malah dikata gagal mencari email.. Kocak no efin",Negative
"Anggarannya pada di kemanain ini, Kok gk ada yg beres apk dari pemerintah. Parah parah",Negative
"Sumpah gak jelass mau pemadanan npwp16 tapi login aja gak bisa padahl udah benar nik/npwp tapi gak masul masuk, malah keterangan nya tidak di temukan... Emang ya buatan pemerintahan gak ada gina nya, sampah semua, banyakan korupsiii gak gunaaaaaaa..... Bamgsaaaat",Negative
Verifikasi kode gabisa terus. Gini amat aplikasi milik pemerintah.,Negative
"kode verifikasi sudah dikirim, dikirim kemana? ke baghdad?????..saya nunggu kode verifikasi berulang ulang hanya menghabiskan waktu saja, percuma buat aplikasi jika akhirnya tetep disuruu dateng ke kpp....gemblung",Negative
Parah loginnya,Negative
Aplikasi Keluar sendiri,Negative
masukin Nik tidak mau lengkap,Negative
Ternyata bisa juga,Positive
Sekelas pemerintah Indonesia aplikasinya kayak gini tapi pajak trs ditingkatkan,Negative
